model,feature,metric,estimate,ci_lower,ci_upper,confidence_level,n_bootstrap,n_valid_bootstrap,n_cases
single_logistic::feature_current_text_length,feature_current_text_length,auprc,0.38976374508017864,0.354787514778083,0.4292825443551715,0.95,1000,1000,1055
single_logistic::feature_current_text_length,feature_current_text_length,balanced_accuracy,0.5071844862794198,0.4763059078445546,0.5360615125615125,0.95,1000,1000,1055
single_logistic::feature_current_text_length,feature_current_text_length,f1,0.4648318042813456,0.4233506457046603,0.5009907015042275,0.95,1000,1000,1055
single_logistic::feature_current_text_length,feature_current_text_length,brier,0.2488971128712258,0.24678029190895334,0.2512408456958774,0.95,1000,1000,1055
single_logistic::feature_current_text_token_length,feature_current_text_token_length,auroc,0.5261797761182906,0.49099972387351276,0.557359076960898,0.95,1000,1000,1055
single_logistic::feature_current_text_token_length,feature_current_text_token_length,auprc,0.39599195896084327,0.36003393871546163,0.4355376492360638,0.95,1000,1000,1055
single_logistic::feature_current_text_token_length,feature_current_text_token_length,balanced_accuracy,0.5082614139426731,0.4766843547221599,0.5371497897174733,0.95,1000,1000,1055
single_logistic::feature_current_text_token_length,feature_current_text_token_length,f1,0.45654450261780105,0.41771280304655656,0.4938332601376079,0.95,1000,1000,1055
single_logistic::feature_current_text_token_length,feature_current_text_token_length,brier,0.24873516468544107,0.2465222353390227,0.25126425742915615,0.95,1000,1000,1055
single_logistic::feature_current_answer_present,feature_current_answer_present,auroc,0.5015129156791724,0.4657815420959608,0.5396918935782462,0.95,1000,1000,1055
single_logistic::feature_current_answer_present,feature_current_answer_present,auprc,0.4237463287059386,0.38299101829331844,0.469795191667911,0.95,1000,1000,1055
single_logistic::feature_current_answer_present,feature_current_answer_present,balanced_accuracy,0.5119971232243736,0.5036493283361674,0.5212256894589119,0.95,1000,1000,1055
single_logistic::feature_current_answer_present,feature_current_answer_present,f1,0.058426966292134834,0.02745995423340961,0.09071296564316092,0.95,1000,1000,1055
single_logistic::feature_current_answer_present,feature_current_answer_present,brier,0.24790961884807347,0.2456775011400868,0.25040211079571345,0.95,1000,1000,1055
single_logistic::feature_current_answer_length,feature_current_answer_length,auroc,0.4883270729925919,0.4514791655024691,0.5227671101473548,0.95,1000,1000,1055
single_logistic::feature_current_answer_length,feature_current_answer_length,auprc,0.46723034093466614,0.42042905947854703,0.5136036401396923,0.95,1000,1000,1055
single_logistic::feature_current_answer_length,feature_current_answer_length,balanced_accuracy,0.540520800727392,0.511753859291227,0.566190927225885,0.95,1000,1000,1055
single_logistic::feature_current_answer_length,feature_current_answer_length,f1,0.39892183288409705,0.3505420609844591,0.440268905066112,0.95,1000,1000,1055
single_logistic::feature_current_answer_length,feature_current_answer_length,brier,0.24845157295807116,0.24623901804201706,0.2511437554334439,0.95,1000,1000,1055
single_logistic::feature_current_answer_token_length,feature_current_answer_token_length,auroc,0.5015129156791724,0.4657815420959608,0.5396918935782462,0.95,1000,1000,1055
single_logistic::feature_current_answer_token_length,feature_current_answer_token_length,auprc,0.4237463287059386,0.38299101829331844,0.469795191667911,0.95,1000,1000,1055
single_logistic::feature_current_answer_token_length,feature_current_answer_token_length,balanced_accuracy,0.5119971232243736,0.5036493283361674,0.5212256894589119,0.95,1000,1000,1055
single_logistic::feature_current_answer_token_length,feature_current_answer_token_length,f1,0.058426966292134834,0.02745995423340961,0.09071296564316092,0.95,1000,1000,1055
single_logistic::feature_current_answer_token_length,feature_current_answer_token_length,brier,0.24790961884807347,0.2456775011400868,0.25040211079571345,0.95,1000,1000,1055
single_logistic::feature_current_answer_persistence,feature_current_answer_persistence,auroc,0.7279546572463444,0.6993308460416916,0.7581877759745106,0.95,1000,1000,1055
single_logistic::feature_current_answer_persistence,feature_current_answer_persistence,auprc,0.6105977918008793,0.5640862101478616,0.659516366696287,0.95,1000,1000,1055
single_logistic::feature_current_answer_persistence,feature_current_answer_persistence,balanced_accuracy,0.6714774404149711,0.6463919453310075,0.6947393042245904,0.95,1000,1000,1055
single_logistic::feature_current_answer_persistence,feature_current_answer_persistence,f1,0.6577777777777778,0.6246575342465753,0.6867356977419672,0.95,1000,1000,1055
single_logistic::feature_current_answer_persistence,feature_current_answer_persistence,brier,0.21841240140933338,0.21082433943338544,0.2261242536810312,0.95,1000,1000,1055
single_logistic::feature_current_answer_persistence_normalized,feature_current_answer_persistence_normalized,auroc,0.7279546572463444,0.6993308460416916,0.7581877759745106,0.95,1000,1000,1055
single_logistic::feature_current_answer_persistence_normalized,feature_current_answer_persistence_normalized,auprc,0.6105977918008793,0.5640862101478616,0.659516366696287,0.95,1000,1000,1055
single_logistic::feature_current_answer_persistence_normalized,feature_current_answer_persistence_normalized,balanced_accuracy,0.6714774404149711,0.6463919453310075,0.6947393042245904,0.95,1000,1000,1055
single_logistic::feature_current_answer_persistence_normalized,feature_current_answer_persistence_normalized,f1,0.6577777777777778,0.6246575342465753,0.6867356977419672,0.95,1000,1000,1055
single_logistic::feature_current_answer_persistence_normalized,feature_current_answer_persistence_normalized,brier,0.21841240140933338,0.21082433943338544,0.2261242536810312,0.95,1000,1000,1055
single_logistic::feature_current_answer_first_seen_time,feature_current_answer_first_seen_time,auroc,0.5551413048338774,0.5171980731860248,0.5887704254298348,0.95,1000,1000,1055
single_logistic::feature_current_answer_first_seen_time,feature_current_answer_first_seen_time,auprc,0.5054081407031525,0.45373220863268904,0.5558903674274671,0.95,1000,1000,1055
single_logistic::feature_current_answer_first_seen_time,feature_current_answer_first_seen_time,balanced_accuracy,0.527618163931494,0.49804748751923844,0.5567454169272784,0.95,1000,1000,1055
single_logistic::feature_current_answer_first_seen_time,feature_current_answer_first_seen_time,f1,0.4975417895771878,0.4568258529344961,0.533599613625261,0.95,1000,1000,1055
single_logistic::feature_current_answer_first_seen_time,feature_current_answer_first_seen_time,brier,0.24900020686648194,0.24705228900351622,0.25110954773328986,0.95,1000,1000,1055
single_logistic::feature_current_answer_first_seen_normalized,feature_current_answer_first_seen_normalized,auroc,0.5551413048338774,0.5171980731860248,0.5887704254298348,0.95,1000,1000,1055
single_logistic::feature_current_answer_first_seen_normalized,feature_current_answer_first_seen_normalized,auprc,0.5054081407031525,0.45373220863268904,0.5558903674274671,0.95,1000,1000,1055
single_logistic::feature_current_answer_first_seen_normalized,feature_current_answer_first_seen_normalized,balanced_accuracy,0.527618163931494,0.49804748751923844,0.5567454169272784,0.95,1000,1000,1055
single_logistic::feature_current_answer_first_seen_normalized,feature_current_answer_first_seen_normalized,f1,0.4975417895771878,0.4568258529344961,0.533599613625261,0.95,1000,1000,1055
single_logistic::feature_current_answer_first_seen_normalized,feature_current_answer_first_seen_normalized,brier,0.24900020686648194,0.24705228900351622,0.25110954773328986,0.95,1000,1000,1055
single_logistic::feature_recent_answer_change_count,feature_recent_answer_change_count,auroc,0.7103884392374309,0.677812588501841,0.7412460862130514,0.95,1000,1000,1055
single_logistic::feature_recent_answer_change_count,feature_recent_answer_change_count,auprc,0.6071997093744221,0.556335991924474,0.6575611323565792,0.95,1000,1000,1055
single_logistic::feature_recent_answer_change_count,feature_recent_answer_change_count,balanced_accuracy,0.6432276528193892,0.6122925796330249,0.6729032793066321,0.95,1000,1000,1055
single_logistic::feature_recent_answer_change_count,feature_recent_answer_change_count,f1,0.5896589658965896,0.5499646371463716,0.6263557016704486,0.95,1000,1000,1055
single_logistic::feature_recent_answer_change_count,feature_recent_answer_change_count,brier,0.2169902841778105,0.20748127263451338,0.22712615096018138,0.95,1000,1000,1055
single_logistic::feature_recent_answer_change_rate,feature_recent_answer_change_rate,auroc,0.7103884392374309,0.677812588501841,0.7412460862130514,0.95,1000,1000,1055
single_logistic::feature_recent_answer_change_rate,feature_recent_answer_change_rate,auprc,0.6071997093744221,0.556335991924474,0.6575611323565792,0.95,1000,1000,1055
single_logistic::feature_recent_answer_change_rate,feature_recent_answer_change_rate,balanced_accuracy,0.6432276528193892,0.6122925796330249,0.6729032793066321,0.95,1000,1000,1055
single_logistic::feature_recent_answer_change_rate,feature_recent_answer_change_rate,f1,0.5896589658965896,0.5499646371463716,0.6263557016704486,0.95,1000,1000,1055
single_logistic::feature_recent_answer_change_rate,feature_recent_answer_change_rate,brier,0.2169902841778105,0.20748127263451338,0.22712615096018138,0.95,1000,1000,1055
single_logistic::feature_recent_answer_edit_distance,feature_recent_answer_edit_distance,auroc,0.7073346599293477,0.6751095443447336,0.7378235918211985,0.95,1000,1000,1055
single_logistic::feature_recent_answer_edit_distance,feature_recent_answer_edit_distance,auprc,0.599149371572899,0.5487743334970533,0.6504761633509132,0.95,1000,1000,1055
single_logistic::feature_recent_answer_edit_distance,feature_recent_answer_edit_distance,balanced_accuracy,0.6436748200152036,0.6144148334026123,0.673907815936273,0.95,1000,1000,1055
single_logistic::feature_recent_answer_edit_distance,feature_recent_answer_edit_distance,f1,0.5799769850402762,0.5381858975680486,0.6174650006207506,0.95,1000,1000,1055
single_logistic::feature_recent_answer_edit_distance,feature_recent_answer_edit_distance,brier,0.21988570386164835,0.2108248031742958,0.22925975354244235,0.95,1000,1000,1055
single_logistic::feature_current_answer_stability,feature_current_answer_stability,auroc,0.6156840167538643,0.5797413259604068,0.6524362443760534,0.95,1000,1000,1055
single_logistic::feature_current_answer_stability,feature_current_answer_stability,auprc,0.5447649391123344,0.4968337450311062,0.5935643392071331,0.95,1000,1000,1055
single_logistic::feature_current_answer_stability,feature_current_answer_stability,balanced_accuracy,0.6337253499083307,0.6072711077495906,0.6622234137414829,0.95,1000,1000,1055
single_logistic::feature_current_answer_stability,feature_current_answer_stability,f1,0.5113636363636364,0.46392697692854024,0.5565675761316944,0.95,1000,1000,1055
single_logistic::feature_current_answer_stability,feature_current_answer_stability,brier,0.23114351574562958,0.2237738326669817,0.23810938492425712,0.95,1000,1000,1055
single_logistic::feature_recent_answer_stability,feature_recent_answer_stability,auroc,0.7073346599293477,0.6751095443447336,0.7378235918211985,0.95,1000,1000,1055
single_logistic::feature_recent_answer_stability,feature_recent_answer_stability,auprc,0.599149371572899,0.5487743334970533,0.6504761633509132,0.95,1000,1000,1055
single_logistic::feature_recent_answer_stability,feature_recent_answer_stability,balanced_accuracy,0.6436748200152036,0.6144148334026123,0.673907815936273,0.95,1000,1000,1055
single_logistic::feature_recent_answer_stability,feature_recent_answer_stability,f1,0.5799769850402762,0.5381858975680486,0.6174650006207506,0.95,1000,1000,1055
single_logistic::feature_recent_answer_stability,feature_recent_answer_stability,brier,0.21988570386164838,0.2108248031742958,0.22925975354244235,0.95,1000,1000,1055
single_logistic::feature_recent_answer_stability_slope,feature_recent_answer_stability_slope,auroc,0.5270983320663596,0.49192843024907335,0.5630857670339618,0.95,1000,1000,1055
single_logistic::feature_recent_answer_stability_slope,feature_recent_answer_stability_slope,auprc,0.47163700168094463,0.4277609896245358,0.5183775824033856,0.95,1000,1000,1055
single_logistic::feature_recent_answer_stability_slope,feature_recent_answer_stability_slope,balanced_accuracy,0.4731327043181445,0.44459936980069564,0.5023030636900734,0.95,1000,1000,1055
single_logistic::feature_recent_answer_stability_slope,feature_recent_answer_stability_slope,f1,0.46225535880708296,0.42588120328251083,0.4949785301505983,0.95,1000,1000,1055
single_logistic::feature_recent_answer_stability_slope,feature_recent_answer_stability_slope,brier,0.24974981134481763,0.24814480330852323,0.25139047552634897,0.95,1000,1000,1055
single_logistic::feature_current_token_change_rate,feature_current_token_change_rate,auroc,0.5972868130393955,0.5619576496213678,0.6286573373671873,0.95,1000,1000,1055
single_logistic::feature_current_token_change_rate,feature_current_token_change_rate,auprc,0.44400164441835505,0.40530364341751773,0.4879448226638101,0.95,1000,1000,1055
single_logistic::feature_current_token_change_rate,feature_current_token_change_rate,balanced_accuracy,0.5420896123060412,0.5100371426171639,0.5720057943914355,0.95,1000,1000,1055
single_logistic::feature_current_token_change_rate,feature_current_token_change_rate,f1,0.4665911664779162,0.4244486969575743,0.5060807815962793,0.95,1000,1000,1055
single_logistic::feature_current_token_change_rate,feature_current_token_change_rate,brier,0.24748249704405065,0.24442652281642796,0.25096349291064657,0.95,1000,1000,1055
single_logistic::feature_recent_token_change_rate,feature_recent_token_change_rate,auroc,0.5665962378333259,0.5316906072529438,0.5987316803004123,0.95,1000,1000,1055
single_logistic::feature_recent_token_change_rate,feature_recent_token_change_rate,auprc,0.4250701575209045,0.3859193146163987,0.4667828759595618,0.95,1000,1000,1055
single_logistic::feature_recent_token_change_rate,feature_recent_token_change_rate,balanced_accuracy,0.5158651194681692,0.48583306984820224,0.5445764404700038,0.95,1000,1000,1055
single_logistic::feature_recent_token_change_rate,feature_recent_token_change_rate,f1,0.4602332979851538,0.418599556789526,0.496292216891827,0.95,1000,1000,1055
single_logistic::feature_recent_token_change_rate,feature_recent_token_change_rate,brier,0.2462893476205802,0.24238965094244402,0.25015613639214085,0.95,1000,1000,1055
single_logistic::feature_current_token_stability,feature_current_token_stability,auroc,0.5972868130393955,0.5619576496213678,0.6286573373671873,0.95,1000,1000,1055
single_logistic::feature_current_token_stability,feature_current_token_stability,auprc,0.44400164441835505,0.40530364341751773,0.4879448226638101,0.95,1000,1000,1055
single_logistic::feature_current_token_stability,feature_current_token_stability,balanced_accuracy,0.5420896123060412,0.5100371426171639,0.5720057943914355,0.95,1000,1000,1055
single_logistic::feature_current_token_stability,feature_current_token_stability,f1,0.4665911664779162,0.4244486969575743,0.5060807815962793,0.95,1000,1000,1055
single_logistic::feature_current_token_stability,feature_current_token_stability,brier,0.24748249704405065,0.24442652281642796,0.25096349291064657,0.95,1000,1000,1055
single_logistic::feature_recent_stability,feature_recent_stability,auroc,0.5665962378333259,0.5316906072529438,0.5987316803004123,0.95,1000,1000,1055
single_logistic::feature_recent_stability,feature_recent_stability,auprc,0.4250701575209045,0.3859193146163987,0.4667828759595618,0.95,1000,1000,1055
single_logistic::feature_recent_stability,feature_recent_stability,balanced_accuracy,0.5158651194681692,0.48583306984820224,0.5445764404700038,0.95,1000,1000,1055
single_logistic::feature_recent_stability,feature_recent_stability,f1,0.4602332979851538,0.418599556789526,0.496292216891827,0.95,1000,1000,1055
single_logistic::feature_recent_stability,feature_recent_stability,brier,0.2462893476205802,0.24238965094244402,0.2501561363921409,0.95,1000,1000,1055
single_logistic::feature_recent_stability_slope,feature_recent_stability_slope,auroc,0.46870574907958085,0.4338687457354174,0.5012436973900745,0.95,1000,1000,1055
single_logistic::feature_recent_stability_slope,feature_recent_stability_slope,auprc,0.388384031876538,0.3531437054639508,0.4277033488421767,0.95,1000,1000,1055
single_logistic::feature_recent_stability_slope,feature_recent_stability_slope,balanced_accuracy,0.49481658692185004,0.4656561107411646,0.5237126565706811,0.95,1000,1000,1055
single_logistic::feature_recent_stability_slope,feature_recent_stability_slope,f1,0.44490644490644493,0.405939613545544,0.481417212248596,0.95,1000,1000,1055
single_logistic::feature_recent_stability_slope,feature_recent_stability_slope,brier,0.25027506582009046,0.25009023316535056,0.2504714370177652,0.95,1000,1000,1055
single_logistic::feature_current_commit_speed,feature_current_commit_speed,auroc,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_current_commit_speed,feature_current_commit_speed,auprc,0.4056872037914692,0.376303317535545,0.43412322274881515,0.95,1000,1000,1055
single_logistic::feature_current_commit_speed,feature_current_commit_speed,balanced_accuracy,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_current_commit_speed,feature_current_commit_speed,f1,0.5772083614295347,0.546831955922865,0.6054196959682749,0.95,1000,1000,1055
single_logistic::feature_current_commit_speed,feature_current_commit_speed,brier,0.25,0.25,0.25,0.95,1000,1000,1055
single_logistic::feature_recent_commit_speed,feature_recent_commit_speed,auroc,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_recent_commit_speed,feature_recent_commit_speed,auprc,0.4056872037914692,0.376303317535545,0.43412322274881515,0.95,1000,1000,1055
single_logistic::feature_recent_commit_speed,feature_recent_commit_speed,balanced_accuracy,0.5,0.5,0.5,0.95,1000,1000,1055
single_logistic::feature_recent_commit_speed,feature_recent_commit_speed,f1,0.5772083614295347,0.546831955922865,0.6054196959682749,0.95,1000,1000,1055
single_logistic::feature_recent_commit_speed,feature_recent_commit_speed,brier,0.25,0.25,0.25,0.95,1000,1000,1055
single_logistic::feature_past_oscillation_count,feature_past_oscillation_count,auroc,0.5711089001177541,0.5362528925185098,0.6088699701705758,0.95,1000,1000,1055
single_logistic::feature_past_oscillation_count,feature_past_oscillation_count,auprc,0.4667252537931459,0.42359490073581285,0.5147715662740949,0.95,1000,1000,1055
single_logistic::feature_past_oscillation_count,feature_past_oscillation_count,balanced_accuracy,0.5661751553906005,0.5369575736238559,0.5982317146786694,0.95,1000,1000,1055
single_logistic::feature_past_oscillation_count,feature_past_oscillation_count,f1,0.5148305084745762,0.4758787311840196,0.5527962934908852,0.95,1000,1000,1055
single_logistic::feature_past_oscillation_count,feature_past_oscillation_count,brier,0.24620598047102127,0.24226852452198575,0.25000773919933056,0.95,1000,1000,1055
single_logistic::feature_distinct_answers_seen,feature_distinct_answers_seen,auroc,0.568220945311452,0.5329178990773963,0.6048839591533973,0.95,1000,1000,1055
single_logistic::feature_distinct_answers_seen,feature_distinct_answers_seen,auprc,0.47180166564376624,0.4267631441670303,0.5216397241927851,0.95,1000,1000,1055
single_logistic::feature_distinct_answers_seen,feature_distinct_answers_seen,balanced_accuracy,0.5521415582286218,0.5216123787502092,0.58232324167815,0.95,1000,1000,1055
single_logistic::feature_distinct_answers_seen,feature_distinct_answers_seen,f1,0.4704519119351101,0.42891148236066945,0.5097154010168935,0.95,1000,1000,1055
single_logistic::feature_distinct_answers_seen,feature_distinct_answers_seen,brier,0.24638321455751883,0.24267434183207034,0.2501907923580258,0.95,1000,1000,1055
logistic_all_features,__all__,auroc,0.7338647170176931,0.7046042060916486,0.7625450780947709,0.95,1000,1000,1055
logistic_all_features,__all__,auprc,0.6171714093360317,0.5689634517988166,0.6664411149582432,0.95,1000,1000,1055
logistic_all_features,__all__,balanced_accuracy,0.6781625899923982,0.6485463950677348,0.7054421508832375,0.95,1000,1000,1055
logistic_all_features,__all__,f1,0.6364594309799789,0.5981920583449201,0.6673570307176154,0.95,1000,1000,1055
logistic_all_features,__all__,brier,0.209342278579705,0.1986142658834308,0.22003170202314606,0.95,1000,1000,1055
hist_gradient_boosting_balanced,__all__,auroc,0.7778473371193488,0.7496215753757471,0.8048463479461604,0.95,1000,1000,1055
hist_gradient_boosting_balanced,__all__,auprc,0.6576361056458098,0.6083370488248208,0.7073610437195033,0.95,1000,1000,1055
hist_gradient_boosting_balanced,__all__,balanced_accuracy,0.6961890175736708,0.6670441892434916,0.7229946727068562,0.95,1000,1000,1055
hist_gradient_boosting_balanced,__all__,f1,0.6507072905331882,0.6143375660435999,0.6849729578302232,0.95,1000,1000,1055
hist_gradient_boosting_balanced,__all__,brier,0.19250255272161698,0.17910597283219912,0.20600743962938695,0.95,1000,1000,1055
