method,fold_idx,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
single_hfo_event_rate,3,0.6315707108142032,0.4077335217031935,0.45103680676872315,0.6049316361816363,0.4444444444444444,18
single_hfo_event_rate,4,0.5958365835405011,0.4414933460137951,0.47560372995799693,0.5895709229042563,0.4444444444444444,18
single_hfo_event_rate,5,0.6223084012670954,0.45746633556358357,0.4995046286568857,0.5958345394619904,0.4444444444444444,18
single_high_gamma,1,0.5630051001954071,0.34770732104908886,0.3788629217864475,0.46949591802532975,0.2777777777777778,18
single_high_gamma,2,0.5596007276582308,0.2617708027359982,0.32202943009688206,0.45752769238276486,0.2777777777777778,18
single_high_gamma,3,0.621630799291685,0.39555182068961187,0.41694515781839153,0.5203976034858387,0.3333333333333333,18
single_high_gamma,4,0.594537254775614,0.43980449897354046,0.4761294260428354,0.5198152381758783,0.3333333333333333,18
single_high_gamma,5,0.6514684035388415,0.47572957082037426,0.5326201821848094,0.5566103649436983,0.4444444444444444,18
single_line_length,1,0.605821960590665,0.4217242443687449,0.4697425812468547,0.6052669552669552,0.5,18
single_line_length,2,0.5654378744024684,0.2748775389077498,0.3562443054136964,0.5384615384615384,0.2777777777777778,18
single_line_length,3,0.6397148752336566,0.42590813461430427,0.4921015003466737,0.691358024691358,0.5555555555555556,18
single_line_length,4,0.595760922651642,0.44059057269234975,0.47675443269226103,0.5548878423878424,0.3888888888888889,18
single_line_length,5,0.6865647659345704,0.5318309507636859,0.5876594692048047,0.658516223867101,0.6111111111111112,18
single_onset_latency_high_gamma,1,0.5478073276191561,0.35574897123726273,0.3989733875285751,0.621957671957672,0.6666666666666666,18
single_onset_latency_high_gamma,2,0.5727566455934345,0.2914147847751135,0.28318567235551795,0.3174094424094424,0.1111111111111111,18
single_onset_latency_high_gamma,3,0.5711284322636374,0.33682781340870904,0.3679113323413123,0.5361351611351611,0.4444444444444444,18
single_onset_latency_high_gamma,4,0.4765846183200262,0.29521306961504556,0.3872253993544242,0.4593534037978482,0.3888888888888889,18
single_onset_latency_high_gamma,5,0.6280861622212874,0.45473496472109104,0.451249039701698,0.5513668430335097,0.5,18
single_onset_latency_line_length,1,0.5389012424768294,0.34021372020591306,0.3949572735695106,0.5205687830687831,0.5555555555555556,18
single_onset_latency_line_length,2,0.5597823048718998,0.2720817101079315,0.34160514507403095,0.6742165242165242,0.5,18
single_onset_latency_line_length,3,0.6213383123408794,0.4154071301575411,0.44188949489223045,0.6700617283950617,0.4444444444444444,18
