config,fold_idx,center,n_patients,mean_ez_channel_count,mean_valid_channel_count,mean_ez_fraction,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate
A9v8_stage1c_anchor_a010_b000_mrr,4,multicenter,1,,,,0.6518675123326286,0.6060606060606061,0.764646232920045,1.0,1.0
A9v8_stage1c_anchor_a010_b000_mrr,4,pediatric,5,,,,0.5581125536107701,0.34534313725490196,0.3954191319640034,0.5681818181818181,0.4
A9v8_stage1c_anchor_a010_b000_mrr,5,hup,7,,,,0.7743041259802862,0.6513043478260869,0.7495848203994726,1.0,1.0
A9v8_stage1c_anchor_a010_b000_mrr,5,lzu,6,,,,0.5967338175462614,0.4796010652868605,0.5152039321474144,0.6279761904761905,0.5
A9v8_stage1c_anchor_a010_b000_mrr,5,multicenter,3,,,,0.8043674843674844,0.7306397306397306,0.7695826663652073,1.0,1.0
A9v8_stage1c_anchor_a010_b000_mrr,5,pediatric,2,,,,0.6017316017316018,0.30952380952380953,0.37911909146818507,0.5066666666666666,0.5
A9v8_stage1c_anchor_a020_b-010_mrr,1,hup,9,,,,0.6839771479264322,0.5280741113175074,0.5721556687836187,0.6898148148148148,0.5555555555555556
A9v8_stage1c_anchor_a020_b-010_mrr,1,lzu,5,,,,0.6022771521310576,0.5359414735591206,0.5523881958660308,0.7,0.6
A9v8_stage1c_anchor_a020_b-010_mrr,1,multicenter,2,,,,0.4902768799827623,0.0833333333333333,0.190644127950792,0.3,0.0
A9v8_stage1c_anchor_a020_b-010_mrr,1,pediatric,2,,,,0.6111421130952381,0.4166666666666667,0.5174751933603644,0.5106382978723404,0.5
A9v8_stage1c_anchor_a020_b-010_mrr,2,hup,7,,,,0.6411837114033562,0.3726301476301476,0.4281181400533124,0.7619047619047619,0.5714285714285714
A9v8_stage1c_anchor_a020_b-010_mrr,2,lzu,4,,,,0.5464175411877394,0.445791899602566,0.5048130721559105,0.8333333333333333,0.75
A9v8_stage1c_anchor_a020_b-010_mrr,2,multicenter,7,,,,0.6745689902013087,0.41666666666666663,0.4380069246355506,0.5281385281385281,0.2857142857142857
A9v8_stage1c_anchor_a020_b-010_mrr,3,hup,11,,,,0.6810216299479076,0.4624453840780936,0.530096959857987,0.7151515151515151,0.6363636363636364
A9v8_stage1c_anchor_a020_b-010_mrr,3,lzu,3,,,,0.5468901727189682,0.37874097007223945,0.40660117805482354,0.8333333333333334,0.6666666666666666
A9v8_stage1c_anchor_a020_b-010_mrr,3,multicenter,2,,,,0.7752066823280601,0.6895604395604396,0.7687104293098619,1.0,1.0
A9v8_stage1c_anchor_a020_b-010_mrr,3,pediatric,2,,,,0.536053587413069,0.2553191489361702,0.3490349375696478,0.525,0.5
A9v8_stage1c_anchor_a020_b-010_mrr,4,hup,2,,,,0.7330787633419212,0.5710526315789474,0.6171514541759107,1.0,1.0
A9v8_stage1c_anchor_a020_b-010_mrr,4,lzu,10,,,,0.5675399260826037,0.4566489537703289,0.4743497956676498,0.5688095238095239,0.4
A9v8_stage1c_anchor_a020_b-010_mrr,4,multicenter,1,,,,0.6786469344608879,0.6363636363636364,0.7667932165601845,1.0,1.0
A9v8_stage1c_anchor_a020_b-010_mrr,4,pediatric,5,,,,0.5581125536107701,0.34534313725490196,0.4135629301608583,0.6666666666666666,0.6
A9v8_stage1c_anchor_a020_b-010_mrr,5,hup,7,,,,0.7902747438742743,0.6757261165335698,0.7575948830339448,1.0,1.0
A9v8_stage1c_anchor_a020_b-010_mrr,5,lzu,6,,,,0.6050494415009383,0.4863329942202819,0.5152894828107344,0.6126984126984126,0.5
A9v8_stage1c_anchor_a020_b-010_mrr,5,multicenter,3,,,,0.8126911976911977,0.7525252525252526,0.7993333515140114,1.0,1.0
A9v8_stage1c_anchor_a020_b-010_mrr,5,pediatric,2,,,,0.6017316017316018,0.30952380952380953,0.3732715086767219,0.506578947368421,0.5
A9v8_stage1c_anchor_a020_b000_mrr,1,hup,9,,,,0.6948510362351802,0.5430236044700533,0.5521066877082734,0.6435185185185185,0.4444444444444444
A9v8_stage1c_anchor_a020_b000_mrr,1,lzu,5,,,,0.5974841238086175,0.5300591206179441,0.5487113933319424,0.6888888888888889,0.6
A9v8_stage1c_anchor_a020_b000_mrr,1,multicenter,2,,,,0.4902768799827623,0.0833333333333333,0.20384436580535284,0.29545454545454547,0.0
A9v8_stage1c_anchor_a020_b000_mrr,1,pediatric,2,,,,0.5675223214285714,0.3333333333333333,0.5018629112150019,0.5116279069767441,0.5
A9v8_stage1c_anchor_a020_b000_mrr,2,hup,7,,,,0.6447158935069668,0.3781246531246531,0.4172980216752086,0.75,0.5714285714285714
A9v8_stage1c_anchor_a020_b000_mrr,2,lzu,4,,,,0.5284354024603959,0.4225374758818582,0.5030001579384039,0.8333333333333333,0.75
A9v8_stage1c_anchor_a020_b000_mrr,2,multicenter,7,,,,0.6745689902013087,0.41666666666666663,0.4329796645065532,0.5089635854341736,0.2857142857142857
A9v8_stage1c_anchor_a020_b000_mrr,3,hup,11,,,,0.6732843748083094,0.4530381989349584,0.5247544545101238,0.6320346320346321,0.5454545454545454
A9v8_stage1c_anchor_a020_b000_mrr,3,lzu,3,,,,0.5468901727189682,0.37874097007223945,0.44935057022767344,0.8333333333333334,0.6666666666666666
A9v8_stage1c_anchor_a020_b000_mrr,3,multicenter,2,,,,0.7752066823280601,0.6895604395604396,0.7693370029446822,1.0,1.0
A9v8_stage1c_anchor_a020_b000_mrr,3,pediatric,2,,,,0.5434560696825724,0.26595744680851063,0.3601803845878427,0.5263157894736842,0.5
A9v8_stage1c_anchor_a020_b000_mrr,4,hup,2,,,,0.7016685069316648,0.5210526315789473,0.5688628489822188,0.625,0.5
A9v8_stage1c_anchor_a020_b000_mrr,4,lzu,10,,,,0.5626088219785157,0.45432018644405103,0.4733903978561827,0.5183333333333333,0.3
A9v8_stage1c_anchor_a020_b000_mrr,4,multicenter,1,,,,0.6518675123326286,0.6060606060606061,0.7671402937280093,1.0,1.0
A9v8_stage1c_anchor_a020_b000_mrr,4,pediatric,5,,,,0.5533195252883301,0.3394607843137255,0.3991818690159439,0.5700000000000001,0.4
A9v8_stage1c_anchor_a020_b000_mrr,5,hup,7,,,,0.7743041259802862,0.6513043478260869,0.7529767100552461,1.0,1.0
A9v8_stage1c_anchor_a020_b000_mrr,5,lzu,6,,,,0.6026992806545817,0.4847292704150656,0.5162523971634663,0.6309523809523809,0.5
A9v8_stage1c_anchor_a020_b000_mrr,5,multicenter,3,,,,0.8262193362193363,0.7676767676767676,0.7903861180252122,1.0,1.0
A9v8_stage1c_anchor_a020_b000_mrr,5,pediatric,2,,,,0.6017316017316018,0.30952380952380953,0.38616428137885866,0.5064935064935064,0.5
